Source,Target,Type,Id,Label,timeset,Weight,coursename,edges,source_course_instructor,weights
Data Visualization,Data Warehousing and BI,Undirected,50505,"['Presentation', 'Information Organization']",,2,Data Visualization,"['Presentation', 'Information Organization']",Matthew Turk,2
Data Visualization,Exhibit Design & Installation,Undirected,50506,['Presentation'],,1,Data Visualization,['Presentation'],Matthew Turk,1
Data Visualization,E-Learning,Undirected,50507,"['Information Organization', 'Teaching']",,2,Data Visualization,"['Information Organization', 'Teaching']",Matthew Turk,2
Data Visualization,Global Health Informatics,Undirected,50508,"['Tools', 'Presentation', 'Information Organization', 'Teaching']",,4,Data Visualization,"['Tools', 'Presentation', 'Information Organization', 'Teaching']",Matthew Turk,4
Data Visualization,"Local, Regional, Global IS",Undirected,50509,"['Information Organization', 'Teaching']",,2,Data Visualization,"['Information Organization', 'Teaching']",Matthew Turk,2
Data Visualization,Expl Info Know Mgmt Strategies,Undirected,50510,"['Tools', 'Information Organization']",,2,Data Visualization,"['Tools', 'Information Organization']",Matthew Turk,2
Data Visualization,Information Service Marketing,Undirected,50511,"['Presentation', 'Information Organization']",,2,Data Visualization,"['Presentation', 'Information Organization']",Matthew Turk,2
Data Visualization,Methods for Data Science,Undirected,50512,"['Information Organization', 'Teaching']",,2,Data Visualization,"['Information Organization', 'Teaching']",Matthew Turk,2
Data Visualization,Oral History,Undirected,50513,"['Presentation', 'Teaching']",,2,Data Visualization,"['Presentation', 'Teaching']",Matthew Turk,2
Data Visualization,Presv & Consv Spec Colls Care,Undirected,50514,['Information Organization'],,1,Data Visualization,['Information Organization'],Matthew Turk,1
Data Visualization,Pro Comm Lib & other Info Pro,Undirected,50515,['Presentation'],,1,Data Visualization,['Presentation'],Matthew Turk,1
Data Visualization,Progr Analytics & Data Process,Undirected,50516,"['Tools', 'Programming', 'Information Organization']",,3,Data Visualization,"['Tools', 'Programming', 'Information Organization']",Matthew Turk,3
Data Visualization,Qualitative Methods Research,Undirected,50517,"['Tools', 'Programming', 'Information Organization']",,3,Data Visualization,"['Tools', 'Programming', 'Information Organization']",Matthew Turk,3
Data Visualization,Self-Organizing Info Systems,Undirected,50518,['Information Organization'],,1,Data Visualization,['Information Organization'],Matthew Turk,1
Data Visualization,Coll Dev for Spec Coll,Undirected,50519,['Information Organization'],,1,Data Visualization,['Information Organization'],Matthew Turk,1
Data Visualization,Information Sciences Practice,Undirected,50520,['Information Organization'],,1,Data Visualization,['Information Organization'],Matthew Turk,1
Data Visualization,Libraries Info and Society,Undirected,50521,"['Information Organization', 'Teaching']",,2,Data Visualization,"['Information Organization', 'Teaching']",Matthew Turk,2
Data Visualization,Intr to Bibliographic Metadata,Undirected,50522,['Information Organization'],,1,Data Visualization,['Information Organization'],Matthew Turk,1
Data Visualization,Collection Development,Undirected,50523,['Information Organization'],,1,Data Visualization,['Information Organization'],Matthew Turk,1
Data Visualization,Media Literacy for Youth,Undirected,50524,['Teaching'],,1,Data Visualization,['Teaching'],Matthew Turk,1
Data Visualization,School Library Media CenterSummary,Undirected,50525,['Teaching'],,1,Data Visualization,['Teaching'],Matthew Turk,1
Data Visualization,Community Informatics,Undirected,50526,"['Presentation', 'Information Organization', 'Teaching']",,3,Data Visualization,"['Presentation', 'Information Organization', 'Teaching']",Matthew Turk,3
Data Visualization,"Literacy, Reading, and Readers",Undirected,50527,"['Presentation', 'Teaching']",,2,Data Visualization,"['Presentation', 'Teaching']",Matthew Turk,2
Data Visualization,Adult Popular Literature,Undirected,50528,['Information Organization'],,1,Data Visualization,['Information Organization'],Matthew Turk,1
Data Visualization,Bio Informatics Probs & Res,Undirected,50529,['Information Organization'],,1,Data Visualization,['Information Organization'],Matthew Turk,1
Data Visualization,Foundations of Data Curation,Undirected,50530,"['Information Organization', 'Teaching']",,2,Data Visualization,"['Information Organization', 'Teaching']",Matthew Turk,2
Data Visualization,Theory & Pract Data Cleaning,Undirected,50531,['Information Organization'],,1,Data Visualization,['Information Organization'],Matthew Turk,1
Data Visualization,"Data, Stat, Info",Undirected,50532,"['Information Organization', 'Teaching']",,2,Data Visualization,"['Information Organization', 'Teaching']",Matthew Turk,2
Data Visualization,Sociotechnical Info Systems,Undirected,50533,['Information Organization'],,1,Data Visualization,['Information Organization'],Matthew Turk,1
Data Visualization,Info Srvcs Diverse Populations,Undirected,50534,['Teaching'],,1,Data Visualization,['Teaching'],Matthew Turk,1
Data Visualization,Digital Libraries,Undirected,50535,['Tools'],,1,Data Visualization,['Tools'],Matthew Turk,1
Data Visualization,Information Modeling,Undirected,50536,"['Tools', 'Programming', 'Information Organization']",,3,Data Visualization,"['Tools', 'Programming', 'Information Organization']",Matthew Turk,3
Data Visualization,Metadata in Theory & Practice,Undirected,50537,['Information Organization'],,1,Data Visualization,['Information Organization'],Matthew Turk,1
Data Visualization,Academic Librarianship,Undirected,50538,"['Information Organization', 'Teaching']",,2,Data Visualization,"['Information Organization', 'Teaching']",Matthew Turk,2
Data Visualization,Rare Book and Spec Colls,Undirected,50539,['Presentation'],,1,Data Visualization,['Presentation'],Matthew Turk,1
Data Visualization,Adm and Use Archival Materials,Undirected,50540,['Information Organization'],,1,Data Visualization,['Information Organization'],Matthew Turk,1
Data Visualization,Preserving Info Resources,Undirected,50541,['Information Organization'],,1,Data Visualization,['Information Organization'],Matthew Turk,1
Data Visualization,Issues Scholarly Communication,Undirected,50542,"['Presentation', 'Teaching']",,2,Data Visualization,"['Presentation', 'Teaching']",Matthew Turk,2
Data Visualization,Business Analytics,Undirected,50543,"['Tools', 'Presentation', 'Programming']",,3,Data Visualization,"['Tools', 'Presentation', 'Programming']",Matthew Turk,3
Data Visualization,Community Archives,Undirected,50544,['Information Organization'],,1,Data Visualization,['Information Organization'],Matthew Turk,1
Data Visualization,Data Mining,Undirected,50545,['Information Organization'],,1,Data Visualization,['Information Organization'],Matthew Turk,1
Data Visualization,Computers and Cultures,Undirected,50546,"['Presentation', 'Information Organization']",,2,Data Visualization,"['Presentation', 'Information Organization']",Matthew Turk,2
Data Visualization,"Race, Gender & Info Technology",Undirected,50547,"['Presentation', 'Information Organization']",,2,Data Visualization,"['Presentation', 'Information Organization']",Matthew Turk,2
Data Visualization,Web Technologies & Techniques,Undirected,50548,"['Presentation', 'Programming', 'Information Organization']",,3,Data Visualization,"['Presentation', 'Programming', 'Information Organization']",Matthew Turk,3
Data Visualization,Storytelling,Undirected,50549,['Presentation'],,1,Data Visualization,['Presentation'],Matthew Turk,1
Data Visualization,Intro to Network Systems,Undirected,50550,['Tools'],,1,Data Visualization,['Tools'],Matthew Turk,1
Data Visualization,FOUNDATIONS OF INFO Processing,Undirected,50551,"['Programming', 'Information Organization']",,2,Data Visualization,"['Programming', 'Information Organization']",Matthew Turk,2
Data Visualization,Introduction to Data Science,Undirected,50552,"['Programming', 'Information Organization']",,2,Data Visualization,"['Programming', 'Information Organization']",Matthew Turk,2
Data Visualization,Instruc Strat Tech Info Prof,Undirected,50553,"['Information Organization', 'Teaching']",,2,Data Visualization,"['Information Organization', 'Teaching']",Matthew Turk,2
Data Visualization,Museum Informatics,Undirected,50554,"['Presentation', 'Information Organization']",,2,Data Visualization,"['Presentation', 'Information Organization']",Matthew Turk,2
Data Visualization,Information Assurance,Undirected,50555,['Tools'],,1,Data Visualization,['Tools'],Matthew Turk,1
Data Visualization,Introduction to Databases,Undirected,50556,"['Presentation', 'Information Organization']",,2,Data Visualization,"['Presentation', 'Information Organization']",Matthew Turk,2
Data Visualization,Geographic Information Systems,Undirected,50559,"['Tools', 'Presentation', 'Information Organization']",,3,Data Visualization,"['Tools', 'Presentation', 'Information Organization']",Matthew Turk,3
Data Visualization,Entrepreneurial IT Design,Undirected,50560,"['Tools', 'Presentation', 'Programming', 'Information Organization']",,4,Data Visualization,"['Tools', 'Presentation', 'Programming', 'Information Organization']",Matthew Turk,4
Data Visualization,Social Media and Global Change,Undirected,50561,"['Presentation', 'Information Organization']",,2,Data Visualization,"['Presentation', 'Information Organization']",Matthew Turk,2
Data Visualization,Intro to Technology in LIS,Undirected,50562,"['Tools', 'Presentation', 'Programming', 'Information Organization']",,4,Data Visualization,"['Tools', 'Presentation', 'Programming', 'Information Organization']",Matthew Turk,4
Data Visualization,Info Org and Access,Undirected,50563,['Information Organization'],,1,Data Visualization,['Information Organization'],Matthew Turk,1
Data Visualization,Student Teaching Seminar,Undirected,50564,['Teaching'],,1,Data Visualization,['Teaching'],Matthew Turk,1
Data Warehousing and BI,Exhibit Design & Installation,Undirected,50565,['Presentation'],,1,Data Warehousing and BI,['Presentation'],Michael Wonderlich,1
Data Warehousing and BI,E-Learning,Undirected,50566,['Information Organization'],,1,Data Warehousing and BI,['Information Organization'],Michael Wonderlich,1
Data Warehousing and BI,Genealogy and Library Service,Undirected,50567,['requiremnets research/user/consulting/synthesis'],,1,Data Warehousing and BI,['requiremnets research/user/consulting/synthesis'],Michael Wonderlich,1
Data Warehousing and BI,"Local, Regional, Global IS",Undirected,50568,['Information Organization'],,1,Data Warehousing and BI,['Information Organization'],Michael Wonderlich,1
Data Warehousing and BI,Expl Info Know Mgmt Strategies,Undirected,50569,"['Information Organization', 'Practical Training']",,2,Data Warehousing and BI,"['Information Organization', 'Practical Training']",Michael Wonderlich,2
Data Warehousing and BI,Information Service Marketing,Undirected,50570,"['Presentation', 'requiremnets research/user/consulting/synthesis', 'Information Organization']",,3,Data Warehousing and BI,"['Presentation', 'requiremnets research/user/consulting/synthesis', 'Information Organization']",Michael Wonderlich,3
Data Warehousing and BI,Methods for Data Science,Undirected,50571,['Information Organization'],,1,Data Warehousing and BI,['Information Organization'],Michael Wonderlich,1
Data Warehousing and BI,Oral History,Undirected,50572,"['Presentation', 'requiremnets research/user/consulting/synthesis', 'Practical Training']",,3,Data Warehousing and BI,"['Presentation', 'requiremnets research/user/consulting/synthesis', 'Practical Training']",Michael Wonderlich,3
Data Warehousing and BI,Presv & Consv Spec Colls Care,Undirected,50573,['Information Organization'],,1,Data Warehousing and BI,['Information Organization'],Michael Wonderlich,1
Data Warehousing and BI,Pro Comm Lib & other Info Pro,Undirected,50574,"['Presentation', 'Practical Training']",,2,Data Warehousing and BI,"['Presentation', 'Practical Training']",Michael Wonderlich,2
Data Warehousing and BI,Progr Analytics & Data Process,Undirected,50575,['Information Organization'],,1,Data Warehousing and BI,['Information Organization'],Michael Wonderlich,1
Data Warehousing and BI,Qualitative Methods Research,Undirected,50576,['Information Organization'],,1,Data Warehousing and BI,['Information Organization'],Michael Wonderlich,1
Data Warehousing and BI,Self-Organizing Info Systems,Undirected,50577,"['requiremnets research/user/consulting/synthesis', 'Information Organization']",,2,Data Warehousing and BI,"['requiremnets research/user/consulting/synthesis', 'Information Organization']",Michael Wonderlich,2
Data Warehousing and BI,Coll Dev for Spec Coll,Undirected,50578,['Information Organization'],,1,Data Warehousing and BI,['Information Organization'],Michael Wonderlich,1
Data Warehousing and BI,Practicum,Undirected,50579,['Practical Training'],,1,Data Warehousing and BI,['Practical Training'],Michael Wonderlich,1
Data Warehousing and BI,Information Sciences Practice,Undirected,50580,['Information Organization'],,1,Data Warehousing and BI,['Information Organization'],Michael Wonderlich,1
Data Warehousing and BI,Libraries Info and Society,Undirected,50581,"['Information Organization', 'Practical Training']",,2,Data Warehousing and BI,"['Information Organization', 'Practical Training']",Michael Wonderlich,2
Data Warehousing and BI,Intr to Bibliographic Metadata,Undirected,50582,"['requiremnets research/user/consulting/synthesis', 'Information Organization']",,2,Data Warehousing and BI,"['requiremnets research/user/consulting/synthesis', 'Information Organization']",Michael Wonderlich,2
Data Warehousing and BI,Collection Development,Undirected,50583,['Information Organization'],,1,Data Warehousing and BI,['Information Organization'],Michael Wonderlich,1
Data Warehousing and BI,Community Informatics,Undirected,50584,"['Presentation', 'requiremnets research/user/consulting/synthesis', 'Information Organization']",,3,Data Warehousing and BI,"['Presentation', 'requiremnets research/user/consulting/synthesis', 'Information Organization']",Michael Wonderlich,3
Data Warehousing and BI,"Literacy, Reading, and Readers",Undirected,50585,['Presentation'],,1,Data Warehousing and BI,['Presentation'],Michael Wonderlich,1
Data Warehousing and BI,Adult Popular Literature,Undirected,50586,"['requiremnets research/user/consulting/synthesis', 'Information Organization']",,2,Data Warehousing and BI,"['requiremnets research/user/consulting/synthesis', 'Information Organization']",Michael Wonderlich,2
Data Warehousing and BI,Bio Informatics Probs & Res,Undirected,50587,['Information Organization'],,1,Data Warehousing and BI,['Information Organization'],Michael Wonderlich,1
Data Warehousing and BI,Foundations of Data Curation,Undirected,50588,['Information Organization'],,1,Data Warehousing and BI,['Information Organization'],Michael Wonderlich,1
Data Warehousing and BI,Theory & Pract Data Cleaning,Undirected,50589,['Information Organization'],,1,Data Warehousing and BI,['Information Organization'],Michael Wonderlich,1
Data Warehousing and BI,Information Consulting,Undirected,50590,['requiremnets research/user/consulting/synthesis'],,1,Data Warehousing and BI,['requiremnets research/user/consulting/synthesis'],Michael Wonderlich,1
Data Warehousing and BI,Applied Business Research,Undirected,50591,['requiremnets research/user/consulting/synthesis'],,1,Data Warehousing and BI,['requiremnets research/user/consulting/synthesis'],Michael Wonderlich,1
Data Warehousing and BI,"Data, Stat, Info",Undirected,50592,"['requiremnets research/user/consulting/synthesis', 'Information Organization']",,2,Data Warehousing and BI,"['requiremnets research/user/consulting/synthesis', 'Information Organization']",Michael Wonderlich,2
Data Warehousing and BI,Sociotechnical Info Systems,Undirected,50593,['Information Organization'],,1,Data Warehousing and BI,['Information Organization'],Michael Wonderlich,1
Data Warehousing and BI,Library Buildings,Undirected,50594,['Practical Training'],,1,Data Warehousing and BI,['Practical Training'],Michael Wonderlich,1
Data Warehousing and BI,Digital Libraries,Undirected,50595,['requiremnets research/user/consulting/synthesis'],,1,Data Warehousing and BI,['requiremnets research/user/consulting/synthesis'],Michael Wonderlich,1
Data Warehousing and BI,Information Modeling,Undirected,50596,['Information Organization'],,1,Data Warehousing and BI,['Information Organization'],Michael Wonderlich,1
Data Warehousing and BI,Metadata in Theory & Practice,Undirected,50597,['Information Organization'],,1,Data Warehousing and BI,['Information Organization'],Michael Wonderlich,1
Data Warehousing and BI,Academic Librarianship,Undirected,50598,"['Information Organization', 'Practical Training']",,2,Data Warehousing and BI,"['Information Organization', 'Practical Training']",Michael Wonderlich,2
Data Warehousing and BI,Rare Book and Spec Colls,Undirected,50599,['Presentation'],,1,Data Warehousing and BI,['Presentation'],Michael Wonderlich,1
Data Warehousing and BI,Adm and Use Archival Materials,Undirected,50600,"['Information Organization', 'Practical Training']",,2,Data Warehousing and BI,"['Information Organization', 'Practical Training']",Michael Wonderlich,2
Data Warehousing and BI,Preserving Info Resources,Undirected,50601,['Information Organization'],,1,Data Warehousing and BI,['Information Organization'],Michael Wonderlich,1
Data Warehousing and BI,Digital Preservation,Undirected,50602,['requiremnets research/user/consulting/synthesis'],,1,Data Warehousing and BI,['requiremnets research/user/consulting/synthesis'],Michael Wonderlich,1
Data Warehousing and BI,Issues Scholarly Communication,Undirected,50603,['Presentation'],,1,Data Warehousing and BI,['Presentation'],Michael Wonderlich,1
Data Warehousing and BI,Business Analytics,Undirected,50604,['Presentation'],,1,Data Warehousing and BI,['Presentation'],Michael Wonderlich,1
Data Warehousing and BI,"Bookbinding: Hist, Princ, Prac",Undirected,50605,['Practical Training'],,1,Data Warehousing and BI,['Practical Training'],Michael Wonderlich,1
Data Warehousing and BI,Community Archives,Undirected,50606,['Information Organization'],,1,Data Warehousing and BI,['Information Organization'],Michael Wonderlich,1
Data Warehousing and BI,Comics: Advising Readers,Undirected,50607,['requiremnets research/user/consulting/synthesis'],,1,Data Warehousing and BI,['requiremnets research/user/consulting/synthesis'],Michael Wonderlich,1
Data Warehousing and BI,Digital Humanities,Undirected,50608,['Practical Training'],,1,Data Warehousing and BI,['Practical Training'],Michael Wonderlich,1
Data Warehousing and BI,Data Mining,Undirected,50609,['Information Organization'],,1,Data Warehousing and BI,['Information Organization'],Michael Wonderlich,1
Data Warehousing and BI,Computers and Cultures,Undirected,50610,"['Presentation', 'Information Organization']",,2,Data Warehousing and BI,"['Presentation', 'Information Organization']",Michael Wonderlich,2
Data Warehousing and BI,"Race, Gender & Info Technology",Undirected,50611,"['Presentation', 'Information Organization']",,2,Data Warehousing and BI,"['Presentation', 'Information Organization']",Michael Wonderlich,2
Data Warehousing and BI,Web Technologies & Techniques,Undirected,50612,"['Presentation', 'requiremnets research/user/consulting/synthesis', 'Information Organization']",,3,Data Warehousing and BI,"['Presentation', 'requiremnets research/user/consulting/synthesis', 'Information Organization']",Michael Wonderlich,3
Data Warehousing and BI,Storytelling,Undirected,50613,['Presentation'],,1,Data Warehousing and BI,['Presentation'],Michael Wonderlich,1
Data Warehousing and BI,FOUNDATIONS OF INFO Processing,Undirected,50614,['Information Organization'],,1,Data Warehousing and BI,['Information Organization'],Michael Wonderlich,1
Data Warehousing and BI,Introduction to Data Science,Undirected,50615,['Information Organization'],,1,Data Warehousing and BI,['Information Organization'],Michael Wonderlich,1
Data Warehousing and BI,Instruc Strat Tech Info Prof,Undirected,50616,['Information Organization'],,1,Data Warehousing and BI,['Information Organization'],Michael Wonderlich,1
Data Warehousing and BI,Museum Informatics,Undirected,50617,"['Presentation', 'Information Organization']",,2,Data Warehousing and BI,"['Presentation', 'Information Organization']",Michael Wonderlich,2
Data Warehousing and BI,Introduction to Databases,Undirected,50618,"['Presentation', 'Information Organization']",,2,Data Warehousing and BI,"['Presentation', 'Information Organization']",Michael Wonderlich,2
Data Warehousing and BI,Global Health Informatics,Undirected,50620,"['Presentation', 'Information Organization']",,2,Data Warehousing and BI,"['Presentation', 'Information Organization']",Michael Wonderlich,2
Data Warehousing and BI,Geographic Information Systems,Undirected,50621,"['Presentation', 'Information Organization']",,2,Data Warehousing and BI,"['Presentation', 'Information Organization']",Michael Wonderlich,2
Data Warehousing and BI,Entrepreneurial IT Design,Undirected,50622,"['Presentation', 'Information Organization']",,2,Data Warehousing and BI,"['Presentation', 'Information Organization']",Michael Wonderlich,2
Data Warehousing and BI,Social Media and Global Change,Undirected,50623,"['Presentation', 'Information Organization']",,2,Data Warehousing and BI,"['Presentation', 'Information Organization']",Michael Wonderlich,2
Data Warehousing and BI,Intro to Technology in LIS,Undirected,50624,"['Presentation', 'Information Organization']",,2,Data Warehousing and BI,"['Presentation', 'Information Organization']",Michael Wonderlich,2
Data Warehousing and BI,Info Org and Access,Undirected,50625,"['requiremnets research/user/consulting/synthesis', 'Information Organization']",,2,Data Warehousing and BI,"['requiremnets research/user/consulting/synthesis', 'Information Organization']",Michael Wonderlich,2
Exhibit Design & Installation,Genealogy and Library Service,Undirected,50626,['LIS'],,1,Exhibit Design & Installation,['LIS'],Walter Wilson,1
Exhibit Design & Installation,"Local, Regional, Global IS",Undirected,50627,['LIS'],,1,Exhibit Design & Installation,['LIS'],Walter Wilson,1
Exhibit Design & Installation,Information Service Marketing,Undirected,50628,['Presentation'],,1,Exhibit Design & Installation,['Presentation'],Walter Wilson,1
Exhibit Design & Installation,Oral History,Undirected,50629,['Presentation'],,1,Exhibit Design & Installation,['Presentation'],Walter Wilson,1
Exhibit Design & Installation,Presv & Consv Spec Colls Care,Undirected,50630,['LIS'],,1,Exhibit Design & Installation,['LIS'],Walter Wilson,1
Exhibit Design & Installation,Pro Comm Lib & other Info Pro,Undirected,50631,['Presentation'],,1,Exhibit Design & Installation,['Presentation'],Walter Wilson,1
Exhibit Design & Installation,Progr Analytics & Data Process,Undirected,50632,['LIS'],,1,Exhibit Design & Installation,['LIS'],Walter Wilson,1
Exhibit Design & Installation,Qualitative Methods Research,Undirected,50633,['LIS'],,1,Exhibit Design & Installation,['LIS'],Walter Wilson,1
Exhibit Design & Installation,Text Mining,Undirected,50634,['LIS'],,1,Exhibit Design & Installation,['LIS'],Walter Wilson,1
Exhibit Design & Installation,Libraries Info and Society,Undirected,50635,['LIS'],,1,Exhibit Design & Installation,['LIS'],Walter Wilson,1
Exhibit Design & Installation,Reference and Info Services,Undirected,50636,['LIS'],,1,Exhibit Design & Installation,['LIS'],Walter Wilson,1
Exhibit Design & Installation,Media Literacy for Youth,Undirected,50637,"['LIS', 'Arts']",,2,Exhibit Design & Installation,"['LIS', 'Arts']",Walter Wilson,2
Exhibit Design & Installation,Community Informatics,Undirected,50638,['Presentation'],,1,Exhibit Design & Installation,['Presentation'],Walter Wilson,1
Exhibit Design & Installation,Government Information,Undirected,50639,['LIS'],,1,Exhibit Design & Installation,['LIS'],Walter Wilson,1
Exhibit Design & Installation,"Literacy, Reading, and Readers",Undirected,50640,"['Presentation', 'LIS']",,2,Exhibit Design & Installation,"['Presentation', 'LIS']",Walter Wilson,2
Exhibit Design & Installation,Adult Popular Literature,Undirected,50641,['LIS'],,1,Exhibit Design & Installation,['LIS'],Walter Wilson,1
Exhibit Design & Installation,REEES Bibliog Research Methods,Undirected,50642,['LIS'],,1,Exhibit Design & Installation,['LIS'],Walter Wilson,1
Exhibit Design & Installation,Bio Informatics Probs & Res,Undirected,50643,['LIS'],,1,Exhibit Design & Installation,['LIS'],Walter Wilson,1
Exhibit Design & Installation,Music Libnship & Bibliography,Undirected,50644,['LIS'],,1,Exhibit Design & Installation,['LIS'],Walter Wilson,1
Exhibit Design & Installation,Digital Libraries,Undirected,50645,['Arts'],,1,Exhibit Design & Installation,['Arts'],Walter Wilson,1
Exhibit Design & Installation,Academic Librarianship,Undirected,50646,['LIS'],,1,Exhibit Design & Installation,['LIS'],Walter Wilson,1
Exhibit Design & Installation,Theological Librarianship,Undirected,50647,['LIS'],,1,Exhibit Design & Installation,['LIS'],Walter Wilson,1
Exhibit Design & Installation,Rare Book and Spec Colls,Undirected,50648,"['Presentation', 'LIS']",,2,Exhibit Design & Installation,"['Presentation', 'LIS']",Walter Wilson,2
Exhibit Design & Installation,Adm and Use Archival Materials,Undirected,50649,['LIS'],,1,Exhibit Design & Installation,['LIS'],Walter Wilson,1
Exhibit Design & Installation,Preserving Info Resources,Undirected,50650,['LIS'],,1,Exhibit Design & Installation,['LIS'],Walter Wilson,1
Exhibit Design & Installation,Digital Preservation,Undirected,50651,['LIS'],,1,Exhibit Design & Installation,['LIS'],Walter Wilson,1
Exhibit Design & Installation,History and Foundations of LIS,Undirected,50652,['LIS'],,1,Exhibit Design & Installation,['LIS'],Walter Wilson,1
Exhibit Design & Installation,Issues Scholarly Communication,Undirected,50653,"['Presentation', 'LIS']",,2,Exhibit Design & Installation,"['Presentation', 'LIS']",Walter Wilson,2
Exhibit Design & Installation,Business Analytics,Undirected,50654,['Presentation'],,1,Exhibit Design & Installation,['Presentation'],Walter Wilson,1
Exhibit Design & Installation,Computers and Cultures,Undirected,50655,['Presentation'],,1,Exhibit Design & Installation,['Presentation'],Walter Wilson,1
Exhibit Design & Installation,"Race, Gender & Info Technology",Undirected,50656,['Presentation'],,1,Exhibit Design & Installation,['Presentation'],Walter Wilson,1
Exhibit Design & Installation,Web Technologies & Techniques,Undirected,50657,['Presentation'],,1,Exhibit Design & Installation,['Presentation'],Walter Wilson,1
Exhibit Design & Installation,Storytelling,Undirected,50658,"['Presentation', 'Arts']",,2,Exhibit Design & Installation,"['Presentation', 'Arts']",Walter Wilson,2
Exhibit Design & Installation,Museum Informatics,Undirected,50659,['Presentation'],,1,Exhibit Design & Installation,['Presentation'],Walter Wilson,1
Exhibit Design & Installation,Information Assurance,Undirected,50660,['LIS'],,1,Exhibit Design & Installation,['LIS'],Walter Wilson,1
Exhibit Design & Installation,Introduction to Databases,Undirected,50661,['Presentation'],,1,Exhibit Design & Installation,['Presentation'],Walter Wilson,1
Exhibit Design & Installation,Global Health Informatics,Undirected,50663,['Presentation'],,1,Exhibit Design & Installation,['Presentation'],Walter Wilson,1
Exhibit Design & Installation,Geographic Information Systems,Undirected,50664,['Presentation'],,1,Exhibit Design & Installation,['Presentation'],Walter Wilson,1
Exhibit Design & Installation,Entrepreneurial IT Design,Undirected,50665,['Presentation'],,1,Exhibit Design & Installation,['Presentation'],Walter Wilson,1
Exhibit Design & Installation,Social Media and Global Change,Undirected,50666,['Presentation'],,1,Exhibit Design & Installation,['Presentation'],Walter Wilson,1
Exhibit Design & Installation,Intro to Technology in LIS,Undirected,50667,"['Presentation', 'LIS']",,2,Exhibit Design & Installation,"['Presentation', 'LIS']",Walter Wilson,2
Exhibit Design & Installation,Info Org and Access,Undirected,50668,['LIS'],,1,Exhibit Design & Installation,['LIS'],Walter Wilson,1
E-Learning,Global Health Informatics,Undirected,50669,"['Information Organization', 'Teaching']",,2,E-Learning,"['Information Organization', 'Teaching']",Melissa Wong,2
E-Learning,"Local, Regional, Global IS",Undirected,50670,"['Information Organization', 'Teaching']",,2,E-Learning,"['Information Organization', 'Teaching']",Melissa Wong,2
E-Learning,Expl Info Know Mgmt Strategies,Undirected,50671,['Information Organization'],,1,E-Learning,['Information Organization'],Melissa Wong,1
E-Learning,Information Service Marketing,Undirected,50672,['Information Organization'],,1,E-Learning,['Information Organization'],Melissa Wong,1
E-Learning,Methods for Data Science,Undirected,50673,"['Information Organization', 'Teaching']",,2,E-Learning,"['Information Organization', 'Teaching']",Melissa Wong,2
E-Learning,Oral History,Undirected,50674,['Teaching'],,1,E-Learning,['Teaching'],Melissa Wong,1
E-Learning,Presv & Consv Spec Colls Care,Undirected,50675,['Information Organization'],,1,E-Learning,['Information Organization'],Melissa Wong,1
E-Learning,Progr Analytics & Data Process,Undirected,50676,['Information Organization'],,1,E-Learning,['Information Organization'],Melissa Wong,1
E-Learning,Qualitative Methods Research,Undirected,50677,['Information Organization'],,1,E-Learning,['Information Organization'],Melissa Wong,1
E-Learning,Self-Organizing Info Systems,Undirected,50678,['Information Organization'],,1,E-Learning,['Information Organization'],Melissa Wong,1
E-Learning,Coll Dev for Spec Coll,Undirected,50679,['Information Organization'],,1,E-Learning,['Information Organization'],Melissa Wong,1
E-Learning,Information Sciences Practice,Undirected,50680,['Information Organization'],,1,E-Learning,['Information Organization'],Melissa Wong,1
E-Learning,Libraries Info and Society,Undirected,50681,"['Information Organization', 'Teaching']",,2,E-Learning,"['Information Organization', 'Teaching']",Melissa Wong,2
E-Learning,Intr to Bibliographic Metadata,Undirected,50682,['Information Organization'],,1,E-Learning,['Information Organization'],Melissa Wong,1
E-Learning,Collection Development,Undirected,50683,['Information Organization'],,1,E-Learning,['Information Organization'],Melissa Wong,1
E-Learning,Media Literacy for Youth,Undirected,50684,['Teaching'],,1,E-Learning,['Teaching'],Melissa Wong,1
E-Learning,School Library Media CenterSummary,Undirected,50685,['Teaching'],,1,E-Learning,['Teaching'],Melissa Wong,1
E-Learning,Community Informatics,Undirected,50686,"['Information Organization', 'Teaching']",,2,E-Learning,"['Information Organization', 'Teaching']",Melissa Wong,2
E-Learning,"Literacy, Reading, and Readers",Undirected,50687,['Teaching'],,1,E-Learning,['Teaching'],Melissa Wong,1
E-Learning,Adult Popular Literature,Undirected,50688,['Information Organization'],,1,E-Learning,['Information Organization'],Melissa Wong,1
E-Learning,Bio Informatics Probs & Res,Undirected,50689,['Information Organization'],,1,E-Learning,['Information Organization'],Melissa Wong,1
E-Learning,Foundations of Data Curation,Undirected,50690,"['Information Organization', 'Teaching']",,2,E-Learning,"['Information Organization', 'Teaching']",Melissa Wong,2
E-Learning,Theory & Pract Data Cleaning,Undirected,50691,['Information Organization'],,1,E-Learning,['Information Organization'],Melissa Wong,1
E-Learning,"Data, Stat, Info",Undirected,50692,"['Information Organization', 'Teaching']",,2,E-Learning,"['Information Organization', 'Teaching']",Melissa Wong,2
E-Learning,Sociotechnical Info Systems,Undirected,50693,['Information Organization'],,1,E-Learning,['Information Organization'],Melissa Wong,1
E-Learning,Info Srvcs Diverse Populations,Undirected,50694,['Teaching'],,1,E-Learning,['Teaching'],Melissa Wong,1
